material,year,country,route,energy_MJ_per_kg,emissions_kgCO2e_per_kg,mining_energy_MJ_per_kg,smelting_energy_MJ_per_kg,refining_energy_MJ_per_kg,fabrication_energy_MJ_per_kg,recycled_content_frac,recycling_efficiency_frac,recycled_output_kg_per_kg,loop_closing_potential_USD_per_kg,reuse_potential_score,repairability_score,product_lifetime_years,end_of_life_route,transport_distance_km,transport_mode,electricity_grid_renewable_pct,renewable_electricity_frac,material_criticality_score,economic_value_USD_per_kg,circularity_index_default,missing_data_flag,V_kg,recovered_kg,W_kg,LFI,lifespan_clipped,F,MCI_raw,MCI,MCI_percent
Zinc,2020,Canada,Primary,31.321,3.662,8.066,12.578,5.391,5.286,0.012,0.353,0.004,0.008,0.774,0.746,0.5,Landfill,1401.5,Truck+Ship,14.1,0.141,0.254,1.991,0.328,0,0.988,0.004,0.996,0.992,0.5,27.0,-25.784,0.0,0.0
Copper,2019,Canada,Primary,29.776,3.072,7.28,12.388,6.958,3.15,0.011,0.3,0.003,0.018,0.57,0.47,7.0,Landfill,661.0,Truck,47.1,0.471,0.373,6.074,0.319,0,0.989,0.003,0.997,0.993,7.0,1.928571,-0.915071003,0.0,0.0
Aluminium,2023,Australia,Primary,71.493,11.491,9.573,46.196,7.709,8.016,0.076,0.316,0.024,0.045,0.563,0.612,6.5,Recycled,86.8,Truck,16.9,0.169,0.327,1.89,0.293,0,0.924,0.024,0.976,0.95,6.5,2.076923,-0.9730768499999998,0.0,0.0
Aluminium,2023,Brazil,Primary,60.782,15.17,4.561,44.353,4.979,6.889,0.002,0.524,0.001,0.002,0.429,0.66,5.0,Recycled,642.4,Truck+Ship,12.2,0.122,0.381,1.608,0.312,0,0.998,0.001,0.999,0.9985,5.0,2.7,-1.6959500000000003,0.0,0.0
Steel,2020,Chile,Primary,16.536,2.747,4.752,6.642,3.031,2.111,0.096,0.3,0.029,0.025,0.389,0.691,9.8,Landfill,416.3,Truck,15.9,0.159,0.095,0.872,0.273,0,0.904,0.029,0.971,0.9375,9.8,1.377551,-0.29145406249999994,0.0,0.0
Steel,2019,Germany,Primary,17.892,2.762,5.468,6.777,2.555,3.093,0.013,0.319,0.004,0.003,0.894,0.581,2.7,Downcycled,20.1,Truck,38.2,0.382,0.187,0.867,0.368,0,0.987,0.004,0.996,0.9915,2.7,5.0,-3.9575000000000005,0.0,0.0
Cobalt,2018,Canada,Secondary,21.707,3.783,2.998,4.543,1.653,12.514,0.754,0.741,0.559,13.919,0.337,0.091,6.8,Downcycled,375.2,Ship,64.7,0.647,0.297,24.9,0.6,1,0.246,0.559,0.441,0.3435,6.8,1.985294,0.31805151099999995,0.318052,31.81
Nickel,2018,Chile,Secondary,21.859,2.36,1.782,3.107,0.854,16.116,0.693,0.773,0.536,6.264,0.369,0.184,7.1,Recycled,64.7,Rail,78.5,0.785,0.56,11.687,0.636,1,0.307,0.536,0.464,0.3855,7.1,1.901408,0.267007216,0.267007,26.7
Lithium,2020,Australia,Primary,100.013,10.591,49.472,22.39,13.117,15.035,0.023,0.3,0.007,0.279,0.32,0.13,3.9,Landfill,369.3,Truck,50.3,0.503,0.365,39.912,0.257,0,0.977,0.007,0.993,0.985,3.9,3.461538,-2.40961493,0.0,0.0
Nickel,2024,USA,Primary,67.02,7.655,23.318,29.653,8.706,5.342,0.019,0.3,0.006,0.127,0.309,0.284,4.4,Landfill,1084.3,Truck+Ship,16.6,0.166,0.486,21.17,0.203,0,0.981,0.006,0.994,0.9875,4.4,3.068182,-2.0298297250000004,0.0,0.0
Lithium,2018,Chile,Primary,96.144,7.72,49.695,17.597,13.236,15.617,0.106,0.3,0.032,1.365,0.26,0.251,5.3,Downcycled,189.3,Rail,26.0,0.26,0.193,42.661,0.233,0,0.894,0.032,0.968,0.931,5.3,2.54717,-1.37141527,0.0,0.0
Cobalt,2023,China,Secondary,22.512,3.465,3.568,4.626,1.691,12.627,0.675,0.838,0.565,15.699,0.461,0.151,4.4,Cascaded,307.9,Truck+Ship,61.6,0.616,0.301,27.786,0.628,0,0.325,0.565,0.435,0.38,4.4,3.068182,-0.16590916,0.0,0.0
