material,year,country,route,energy_MJ_per_kg,emissions_kgCO2e_per_kg,mining_energy_MJ_per_kg,smelting_energy_MJ_per_kg,refining_energy_MJ_per_kg,fabrication_energy_MJ_per_kg,recycled_content_frac,recycling_efficiency_frac,recycled_output_kg_per_kg,loop_closing_potential_USD_per_kg,reuse_potential_score,repairability_score,product_lifetime_years,end_of_life_route,transport_distance_km,transport_mode,electricity_grid_renewable_pct,renewable_electricity_frac,material_criticality_score,economic_value_USD_per_kg,circularity_index_default,missing_data_flag,V_kg,recovered_kg,W_kg,LFI,lifespan_clipped,F,MCI_raw,MCI,MCI_percent
Steel,2018,Chile,Secondary,6.23,0.936,0.57,0.744,0.551,4.365,0.632,0.823,0.52,0.355,0.602,0.454,2.9,Cascaded,471.8,Rail,58.4,0.584,0.134,0.682,0.657,0,0.368,0.52,0.48,0.424,2.9,4.655172,-0.9737929280000002,0.0,0.0
Nickel,2022,Canada,Secondary,19.66,3.703,1.9,2.721,1.049,13.99,0.895,0.817,0.731,8.182,0.295,0.311,4.5,Downcycled,151.7,Truck+Ship,12.6,0.126,0.444,11.193,0.569,0,0.105,0.731,0.269,0.187,4.5,3.0,0.439,0.439,43.9
Lithium,2021,India,Primary,81.988,10.267,42.376,14.226,15.948,9.439,0.047,0.406,0.019,0.88,0.168,0.171,0.5,Recycled,199.7,Truck,26.6,0.266,0.057,46.336,0.229,0,0.953,0.019,0.981,0.967,0.5,27.0,-25.109,0.0,0.0
Aluminium,2023,Canada,Primary,55.917,15.502,8.525,37.482,4.319,5.591,0.029,0.336,0.01,0.024,0.69,0.48,6.2,Downcycled,85.5,Truck,52.0,0.52,0.498,2.399,0.364,0,0.971,0.01,0.99,0.9805,6.2,2.177419,-1.1349593295,0.0,0.0
Lithium,2018,Germany,Primary,79.692,10.374,35.183,17.963,13.125,13.421,0.007,0.309,0.002,0.094,0.232,0.35,8.1,Recycled,429.9,Truck+Ship,51.4,0.514,0.699,47.068,0.267,0,0.993,0.002,0.998,0.9955,8.1,1.666667,-0.6591669984999999,0.0,0.0
Steel,2023,Chile,Primary,19.786,2.583,6.669,6.642,3.021,3.454,0.021,0.3,0.006,0.005,0.776,0.635,8.0,Recycled,375.9,Ship,61.5,0.615,0.289,0.891,0.398,0,0.979,0.006,0.994,0.9865,8.0,1.6875,-0.66471875,0.0,0.0
Steel,2019,USA,Secondary,7.534,1.029,0.766,0.933,0.344,5.491,0.708,0.852,0.604,0.423,0.377,0.309,7.2,Downcycled,151.8,Truck+Ship,36.3,0.363,0.41,0.7,0.593,0,0.292,0.604,0.396,0.344,7.2,1.875,0.3550000000000001,0.355,35.5
Aluminium,2022,Germany,Primary,56.685,17.148,10.216,36.225,4.91,5.334,0.002,0.3,0.001,0.002,0.775,0.577,14.6,Incinerated,1101.9,Truck+Ship,30.9,0.309,0.221,1.757,0.326,0,0.998,0.001,0.999,0.9985,14.6,0.924658,0.0767289869999999,0.076729,7.67
Aluminium,2019,Canada,Secondary,6.001,0.825,0.0,0.572,0.267,5.162,0.928,0.843,0.783,1.078,0.288,0.505,7.3,Downcycled,491.5,Ship,18.7,0.187,0.358,1.377,0.616,0,0.072,0.783,0.217,0.1445,7.3,1.849315,0.7327739825,0.732774,73.28
Lithium,2024,Brazil,Secondary,25.801,2.575,4.926,3.9,2.618,14.357,0.751,0.906,0.68,21.016,0.373,0.152,2.7,Downcycled,36.5,Ship,41.2,0.412,0.09,30.906,0.613,0,0.249,0.68,0.32,0.2845,2.7,5.0,-0.4224999999999999,0.0,0.0
Aluminium,2019,China,Primary,56.167,13.184,7.662,37.276,6.225,5.004,0.004,0.3,0.001,0.002,0.742,0.805,5.0,Incinerated,732.1,Ship,57.6,0.576,0.063,1.877,0.398,0,0.996,0.001,0.999,0.9975,5.0,2.7,-1.6932500000000004,0.0,0.0
Steel,2019,India,Secondary,7.855,0.76,0.802,1.341,0.423,5.29,0.729,0.742,0.541,0.487,0.278,0.576,7.6,Recycled,3.0,Ship,27.9,0.279,0.319,0.901,0.56,0,0.271,0.541,0.459,0.365,7.6,1.776316,0.35164466,0.351645,35.16
Steel,2024,Australia,Primary,17.381,1.959,5.561,7.292,2.424,2.103,0.008,0.3,0.002,0.002,0.508,0.501,8.9,Recycled,416.5,Air,56.6,0.566,0.253,1.065,0.332,0,0.992,0.002,0.998,0.995,8.9,1.516854,-0.50926973,0.0,0.0
Steel,2019,Germany,Primary,18.411,2.23,5.903,6.973,2.589,2.946,0.029,0.371,0.011,0.01,0.174,0.669,4.3,Incinerated,185.2,Rail,49.5,0.495,0.686,0.931,0.311,0,0.971,0.011,0.989,0.98,4.3,3.139535,-2.0767443,0.0,0.0
Zinc,2023,USA,Primary,28.665,2.638,6.306,13.717,4.968,3.675,0.008,0.346,0.003,0.007,0.309,0.634,6.4,Recycled,494.0,Ship,32.9,0.329,0.179,2.199,0.281,0,0.992,0.003,0.997,0.9945,6.4,2.109375,-1.0977734375,0.0,0.0
Steel,2022,Chile,Secondary,8.251,0.973,0.543,1.275,0.856,5.577,0.692,0.83,0.574,0.36,0.537,0.428,9.2,Recycled,29.2,Ship,43.5,0.435,0.016,0.627,0.632,0,0.308,0.574,0.426,0.367,9.2,1.467391,0.461467503,0.461468,46.15
Aluminium,2021,China,Secondary,5.438,1.006,0.648,0.529,0.246,4.014,0.82,0.894,0.733,0.701,0.511,0.457,6.4,Recycled,308.1,Truck+Ship,15.0,0.15,0.282,0.956,0.626,0,0.18,0.733,0.267,0.2235,6.4,2.109375,0.5285546875,0.528555,52.86
Aluminium,2021,India,Primary,71.143,12.626,12.172,46.329,6.13,6.512,0.041,0.3,0.012,0.021,0.652,0.434,12.2,Landfill,276.4,Rail,23.6,0.236,0.541,1.721,0.289,0,0.959,0.012,0.988,0.9735,12.2,1.106557,-0.0772332394999999,0.0,0.0
Lithium,2018,India,Primary,103.514,7.527,49.095,21.869,17.242,15.308,0.013,0.305,0.004,0.21,0.335,0.225,7.6,Recycled,262.0,Truck,38.3,0.383,0.676,52.597,0.244,0,0.987,0.004,0.996,0.9915,7.6,1.776316,-0.761217314,0.0,0.0
Nickel,2023,India,Primary,72.029,6.821,24.578,31.818,8.665,6.968,0.035,0.3,0.011,0.228,0.201,0.51,2.2,Cascaded,634.3,Truck+Ship,27.0,0.27,0.05,20.753,0.234,0,0.965,0.011,0.989,0.977,2.2,6.136364,-4.995227628,0.0,0.0
